X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.033608040074,38.937742256714394,1556,Ward 4,"1410 Quincy Street Northwest, Washington, District of Columbia 20011",1408-1410 Quincy St NW,Under Construction,DHCD,1,38.937734,-77.033606,0,0,1,0,0,,258989,397086.45,141094.68,1410 QUINCY STREET NW,2019-12-30T04:00:25.000Z
-77.039750636864497,38.915824985781562,1557,,"1729 T Street Northwest, Washington, District of Columbia 20009",1729 T St NW,Under Construction,DHCD,1,,,0,0,1,0,0,,241407,396552.84,138661.89,1729 T STREET NW,2019-12-30T04:00:25.000Z
-77.03476929648032,38.934610793843085,1560,Ward 1,"1447 Oak Street Northwest, Washington, District of Columbia 20010",Rhode Island Condos,Under Construction,DHCD,2,38.934603,-77.034767,0,0,2,0,0,,,396985.639048201,140747.098001352,,2019-12-30T04:00:25.000Z
-76.980438257953537,38.869679410845571,1561,Ward 8,"1704 R Street Southeast, Washington, District of Columbia 20020",1704 R St SE,Completed 2015 to Date,DHCD,1,38.869672,-76.980436,0,0,1,0,0,,57916,401697.78,133538.8,1704 R STREET SE,2019-12-30T04:00:25.000Z
-76.97497327753193,38.929332795010005,1562,Ward 5,"2027 Rhode Island Avenue Northeast, Washington, District of Columbia 20018",2027 Rhode Island Ave,Under Construction,DHCD,6,38.929325,-76.974971,0,0,0,6,0,,,402170.219636783,140160.917751293,,2019-12-30T04:00:25.000Z
-77.020661316075078,38.915280232136112,1563,Ward 6,"618 T Street Northwest, Washington, District of Columbia 20001",The Shaw,Under Construction,DHCD,5,38.915386,-77.020806,0,0,0,5,0,,238431,398208.34,138600.87,618 T STREET NW,2019-12-30T04:00:25.000Z
-77.023188884665274,38.95655768321879,1564,Ward 4,"721 Kennedy Street Northwest, Washington, District of Columbia 20011",WSH 7K,Under Construction,DHCD,1,38.95655,-77.023187,0,0,0,1,0,,250280,397990.3,143183.08,721 KENNEDY STREET NW,2019-12-30T04:00:25.000Z
-76.966707717243082,38.933316659656512,1565,Ward 5,"2911 Rhode Island Avenue Northeast, Washington, District of Columbia 20018",The Shirley,Under Construction,DHCD,13,38.933309,-76.966705,0,6,7,0,0,,43463,402886.75,140603.39,2911 RHODE ISLAND AVENUE NE,2019-12-30T04:00:25.000Z
-76.987578425980928,38.924711316443343,1566,Ward 5,"2711 13th Street Northeast, Washington, District of Columbia 20017",Rhode Island Ave,Under Construction,DHCD,4,38.924704,-76.987576,0,0,4,0,0,,305797,401077.32,139647.67,2711 13TH STREET NE,2019-12-30T04:00:25.000Z
-77.032483294812963,38.918995790781736,1567,Ward 1,"1400 W Street Northwest, Washington, District of Columbia 20009",1400 W ST NW,Under Construction,DHCD,20,38.918988,-77.032481,0,0,20,0,0,,,397183.222565871,139013.626425766,,2019-12-30T04:00:25.000Z
-77.001660279315033,38.822168772389688,1568,Ward 8,"4656 Livingston Road Southeast, Washington, District of Columbia 20032",Livingston Road Senior Apartments,Under Construction,DHCD,152,38.822161,-77.001658,0,0,152,0,0,,,399856.021738265,128264.607408208,,2019-12-30T04:00:25.000Z
-77.026069294172075,38.941167795488994,1569,Ward 4,"4111 Kansas Avenue Northwest, Washington, District of Columbia 20011",4111 Kansas Ave NW,Under Construction,DHCD,3,38.94116,-77.026067,0,0,0,3,0,,,397740.152395973,141474.731298369,,2019-12-30T04:00:25.000Z
-77.009378005883519,38.910189538572112,1572,Ward 5,"1518 North Capitol Street Northwest, Washington, District of Columbia 20001",Truxton circle,Pipeline,DMPED DHCD,16,38.910182,-77.009376,2,3,11,0,0,,242909,399186.83,138035.6,1518 NORTH CAPITOL STREET NW,2019-12-30T04:00:25.000Z
-77.001044593985469,38.958155341946579,1573,Ward 4,"5581 South Dakota Avenue Northeast, Washington, District of Columbia 20011",Fort Totten Triangle,Pipeline,DMPED DHCD,29,,,0,15,0,14,0,,288682,399909.66,143360.18,5581 SOUTH DAKOTA AVENUE NE,2019-12-30T04:00:25.000Z
-77.035190823062834,38.926853990213822,1574,Ward 1,"1474 Columbia Road Northwest, Washington, District of Columbia 20009",Maycroft Rehab II,Completed 2015 to Date,DHCD,64,38.926847,-77.035189,41,7,16,0,0,,234344,396948.76,139886.04,1474 COLUMBIA ROAD NW,2019-12-30T04:00:25.000Z
-77.00084931415131,38.92385221917641,1577,Ward 5,"2612 4th Street Northeast, Washington, District of Columbia 20002",2612 4th St NE,Under Construction,DHCD,1,38.923844,-77.000847,0,0,0,1,0,,319485,399926.55,139552.23,2612 4TH STREET NE,2019-12-30T04:00:25.000Z
-77.025879007099078,38.931028533325104,1578,,"785 Lamont Street Northwest, Washington, District of Columbia 20010",785 Lamont St NW,Under Construction,DHCD,2,-77.02591,38.931132,0,1,0,1,0,,313481,397756.33,140349.18,785 LAMONT STREET NW,2019-12-30T04:00:25.000Z
-77.026835113668739,38.95647033369579,1579,Ward 4,"927 Kennedy St NW, Washington, District of Columbia 20011",927 Kennedy St NW,Under Construction,DHCD,2,38.956463,-77.026833,0,1,0,1,0,,254531,397674.26,143173.47,927 KENNEDY STREET NW,2019-12-30T04:00:25.000Z
-77.008460375314272,38.949309550151881,1581,Ward 5,"4811 North Capitol Street NE, Washington, District of Columbia 20011",Tivoli Gardens,Pipeline,DCHA DHCD,90,38.949302,-77.008458,8,29,53,0,0,,288280,399266.82,142378.25,4811 NORTH CAPITOL STREET NE,2019-12-30T04:00:25.000Z
-81.529192133279366,37.577269187734757,1582,,,Kenilworth 166 phase 1,Pipeline,DCHA DHCD,166,,,17,149,0,0,0,,,0,0,,2019-12-30T04:00:25.000Z
-77.023234833489127,38.907458165626061,1584,Ward 6,"801 N Street Northwest, Washington, District of Columbia 20007",801 N St NW,Under Construction,DHCD,2,,-77.023193,0,1,1,0,0,,279945,397984.93,137732.61,801 N STREET NW,2019-12-30T04:00:25.000Z
-76.990877141748896,38.899991293796923,2,Ward 6,"1115 H St NE, Washington, District of Columbia 20002",1115 H Street NE (Woolworth Condo),Completed 2015 to Date,DMPED DHCD,4,38.89995096,-76.99087487,0,2,0,2,0,,311081,400791.55,136903.51,1115 H STREET NE,2019-12-30T04:00:25.000Z
-77.024192060556842,38.906944045021504,4,Ward 2,"1250 9th St NW, Washington, District of Columbia 20001",The Colonel,Completed 2015 to Date,DHCD,6,38.90693659,-77.02418977,0,3,0,3,0,,239786,397901.89,137675.56,1250 9TH STREET NW,2019-12-30T04:00:25.000Z
-76.987587025743011,38.878612309286147,5,Ward 6,"1314 K St SE, Washington, District of Columbia 20003",1314 K Street SE Cooperative,Completed 2015 to Date,DHCD,12,38.87860486,-76.98758475,0,0,0,12,0,,68283,401077.27,134530.31,1314 K STREET SE,2019-12-30T04:00:25.000Z
-77.032336868459268,38.908295939204223,6,Ward 2,"1328 14th St NW, Washington, District of Columbia 20005",The Bentley,Completed 2015 to Date,DHCD,4,38.90830011,-77.03231394,0,0,0,4,0,,279073,397195.5,137825.85,1328 14TH STREET NW,2019-12-30T04:00:25.000Z
-76.985771148929629,38.899616215934984,8,Ward 6,"1350 Maryland Ave NE, Washington, District of Columbia 20002",The Maryland,Completed 2015 to Date,DHCD,7,38.89946356,-76.98589398,0,0,0,7,0,,149108,401234.47,136861.93,1350 MARYLAND AVENUE NE,2019-12-30T04:00:25.000Z
-76.981970583221738,38.925958328161848,12,Ward 5,"1515 Rhode Island Avenue Northeast, Washington, District of Columbia 20018",1515 Rhode Island Ave NE,Completed 2015 to Date,DHCD,2,38.92595087,-76.9819683,0,1,0,1,0,,61927,401563.57,139786.18,1515 RHODE ISLAND AVENUE NE,2019-12-30T04:00:25.000Z
-77.045337776186386,38.923486156895649,16,Ward 1,"1919 Calvert St NW, Washington, District of Columbia 20009",1919 Calvert St NW Tenants Association,Completed 2015 to Date,DHCD,14,38.9234787,-77.04533548,5,9,0,0,0,,236619,396068.72,139512.57,1919 CALVERT STREET NW,2019-12-30T04:00:25.000Z
-77.022612381203174,38.916248897398653,17,Ward 1,"1921 8th St NW, Washington, District of Columbia 20001",The Shay East,Completed 2015 to Date,DHCD,7,38.91629151,-77.022714,0,0,0,7,0,,310530,398039.16,138708.44,1921 8TH STREET NW,2019-12-30T04:00:25.000Z
-77.023215540288817,38.916547135125057,18,Ward 1,"1924 8th St NW, Washington, District of Columbia 20001",The Shay West,Completed 2015 to Date,DHCD,12,38.91653968,-77.02321325,0,0,0,12,0,,310465,397986.86,138741.56,1924 8TH STREET NW,2019-12-30T04:00:25.000Z
-77.023090637245616,38.917542220303744,20,Ward 1,"2030 8th St NW, Washington, District of Columbia 20001",Atlantic Plumbing,Completed 2015 to Date,DHCD,6,38.91753476,-77.02308835,0,0,0,6,0,,284162,397997.72,138852.02,2030 8TH STREET NW,2019-12-30T04:00:25.000Z
-77.006417785117478,38.831504920250282,24,Ward 8,"22 Atlantic Street Southeast, Washington, District of Columbia 20032","22 Atlantic Cooperative Association, Inc. (Acq)",Under Construction,DHCD,15,38.83149748,-77.0064155,7,5,3,0,0,,50871,399442.96,129301,22 ATLANTIC STREET SE,2019-12-30T04:00:25.000Z
-77.000098457878721,38.920715704103699,28,Ward 5,"2321 4th Street Northeast, Washington, District of Columbia 20002",2321 4th Street (Rhode Island Avenue Gateway PUD),Completed 2015 to Date,DCHA DCHFA DHCD,116,38.92075584,-77.00014288,20,0,96,0,0,,289738,399991.66,139204.05,2321 4TH STREET NE,2019-12-30T04:00:25.000Z
-77.015709889096541,38.975270770301179,30,Ward 4,"255 Carroll Street Northwest, Washington, District of Columbia 20012",Takoma Central,Completed 2015 to Date,DHCD,9,38.97523115,-77.015656,0,5,0,4,0,,310103,398638.9,145260.27,255 CARROLL STREET NW,2019-12-30T04:00:25.000Z
-77.02337741634723,38.927749944864459,34,Ward 1,"2920 Georgia Ave NW, Washington, District of Columbia 20001",2920 Georgia Ave NW,Completed 2015 to Date,DHCD,2,38.92774249,-77.02337512,0,1,0,1,0,,232771,397973.14,139985.17,2920 GEORGIA AVENUE NW,2019-12-30T04:00:25.000Z
-77.001753993104188,38.900012626121665,37,Ward 6,"301 H St NE, Washington, District of Columbia 20002",301 H Street NE,Completed 2015 to Date,DHCD,3,38.90000517,-77.00175171,0,0,0,3,0,,310994,399848.05,136905.84,301 H STREET NE,2019-12-30T04:00:25.000Z
-76.966187274271874,38.920766793610412,38,Ward 5,"2226 30th Place Northeast, Washington, District of Columbia 20018",30th Place Crescent Townhomes Phase II,Completed 2015 to Date,DHCD,21,38.920759,-76.966185,0,0,13,8,0,,,402932.390117516,139210.264326982,,2019-12-30T04:00:25.000Z
-76.946296312127188,38.894216204575258,44,Ward 7,"4000 Benning Rd NE, Washington, District of Columbia 20019",4000 Benning (St. Stephens),Completed 2015 to Date,DCHA DCHFA DHCD,71,38.89408184,-76.94613945,18,53,0,0,0,,312333,404659.04,136263.76,4000 BENNING ROAD NE,2019-12-30T04:00:25.000Z
-77.02773598213895,38.939954883937922,45,Ward 4,"4000 Kansas Avenue Northwest, Washington, District of Columbia 20011",Thompson Place,Completed 2015 to Date,DHCD,19,38.93994742,-77.02773369,0,0,19,0,0,,223601,397595.62,141340.13,4000 KANSAS AVENUE NW,2019-12-30T04:00:25.000Z
-76.983871173074704,38.883915274761144,46,Ward 6,"401 15th Street Southeast, Washington, District of Columbia 20003",Kingston Condominum,Completed 2015 to Date,DHCD,2,38.88390782,-76.9838689,0,1,0,1,0,,309081,401399.59,135119.03,401 15TH STREET SE,2019-12-30T04:00:25.000Z
-76.986330716098465,38.834074230796347,48,Ward 8,"4300 12th Street Southeast, Washington, District of Columbia 20032",4300 12th Street SE,Completed 2015 to Date,DCHA DHCD,26,38.83416779,-76.98643035,26,0,0,0,0,,288153,401187.02,129586.28,4300 12TH STREET SE,2019-12-30T04:00:25.000Z
-77.064622015293423,38.946875523138665,50,Ward 3,"4455 Connecticut Ave NW, Washington, District of Columbia 20008",Park Van Ness,Completed 2015 to Date,DHCD,26,38.9469514,-77.0645891,0,0,0,26,0,,284922,394398.32,142110,4455 CONNECTICUT AVENUE NW,2019-12-30T04:00:25.000Z
-76.926823505885196,38.899415889597101,53,Ward 7,"5201 Hayes Street Northeast, Washington, District of Columbia 20019",5201 Hayes Street (Deanwood Hills),Completed 2015 to Date,DMPED DCHFA DHCD OP,150,38.8993814,-76.92652454,40,10,100,0,0,15-10,299817,406347.86,136842.14,5201 HAYES STREET NE,2019-12-30T04:00:25.000Z
-77.072515342564529,38.960681475552001,55,Ward 3,"5333 Connecticut Ave NW, Washington, District of Columbia 20015",5333 Connecticut Ave NW,Completed 2015 to Date,DHCD,19,38.96067401,-77.07251303,0,10,0,9,0,,310383,393715.29,143643.1,5333 CONNECTICUT AVENUE NW,2019-12-30T04:00:25.000Z
-77.030186609724481,38.959507733089517,57,Ward 4,"5741 Colorado Avenue Northwest, Washington, District of Columbia 20011",5741 Colorado Avenue NW Tenant Association,Completed 2015 to Date,DHCD,28,38.95950027,-77.03018431,2,19,7,0,0,,257860,397383.88,143510.74,5741 COLORADO AVENUE NW,2019-12-30T04:00:25.000Z
-76.989230724678023,38.865359668091799,58,Ward 8,"2100 Martin Luther King Jr Ave SE, Washington, District of Columbia 20020",5th & Eye (off-site ADUs),Pipeline,DMPED,61,38.86543825,-76.98923777,0,0,61,0,0,,51883,400934.82,133059.15,2100 MARTIN LUTHER KING JR AVENUE SE,2019-12-30T04:00:25.000Z
-76.911936256266202,38.893881683677371,60,Ward 7,"323 62nd Street Northeast, Washington, District of Columbia 20019",62nd Street Apartments (w/ PADD) - Phase II (aka Eastbrooke Apartments ),Completed 2015 to Date,DCHFA DHCD,39,38.89374448,-76.91189289,0,0,39,0,0,,310426,407639.84,136228.94,323 62ND STREET NE,2019-12-30T04:00:25.000Z
-77.026430776317511,38.974338262155278,61,Ward 4,"6929 Georgia Ave NW, Washington, District of Columbia 20012",6925-6929 Georgia Avenue,Completed 2015 to Date,DMPED DCHA DHCD,27,38.97433046,-77.02642848,8,12,0,7,0,,,397709.880340783,145156.967112615,,2019-12-30T04:00:25.000Z
-77.026210889181002,38.982986864466874,63,Ward 4,"7701 Georgia Ave NW, Washington, District of Columbia 20012",Juniper Heights,Completed 2015 to Date,DCHFA DHCD,81,38.98297939,-77.02620859,0,0,81,0,0,,253661,397729.21,146117.04,7701 GEORGIA AVENUE NW,2019-12-30T04:00:25.000Z
-77.023189435519342,38.908253071258166,65,Ward 6,"1336 8th St NW, Washington, District of Columbia 20001",8th/O Street NW,Pipeline,DMPED OP,23,38.908571,-77.022943,0,11,0,12,0,16-24,319628,397988.89,137820.85,1336 8TH STREET NW,2019-12-30T04:00:25.000Z
-76.971287155065667,38.863929161179598,69,Ward 8,"2335 Altamont Place Southeast, Washington, District of Columbia 20020",Altamont Place,Completed 2015 to Date,DCHA DHCD,36,38.86392171,-76.97128488,36,0,0,0,0,,150372,402492.12,132900.69,2335 ALTAMONT PLACE SE,2019-12-30T04:00:25.000Z
-76.98951941181717,38.839932309498998,70,Ward 8,"1200 Mississippi Ave SE, Washington, District of Columbia 20032",Archer Park (Wing I),Completed 2015 to Date,DCHFA DHCD OP,109,38.84005542,-76.98881414,3,0,92,14,0,13-17,296061,400910.09,130236.53,1200 MISSISSIPPI AVENUE SE,2019-12-30T04:00:25.000Z
