"inegi","year","pob","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN"
"01001",1990,506274,"01","Aguascalientes","001","Aguascalientes"
"01001",1991,521585,"01","Aguascalientes","001","Aguascalientes"
"01001",1992,536895,"01","Aguascalientes","001","Aguascalientes"
"01001",1993,552206,"01","Aguascalientes","001","Aguascalientes"
"01001",1994,567516,"01","Aguascalientes","001","Aguascalientes"
"01001",1995,582827,"01","Aguascalientes","001","Aguascalientes"
"01001",1996,594945,"01","Aguascalientes","001","Aguascalientes"
"01001",1997,607064,"01","Aguascalientes","001","Aguascalientes"
"01001",1998,619182,"01","Aguascalientes","001","Aguascalientes"
"01001",1999,631301,"01","Aguascalientes","001","Aguascalientes"
"01001",2000,643419,"01","Aguascalientes","001","Aguascalientes"
"01001",2001,659344,"01","Aguascalientes","001","Aguascalientes"
"01001",2002,675269,"01","Aguascalientes","001","Aguascalientes"
"01001",2003,691193,"01","Aguascalientes","001","Aguascalientes"
"01001",2004,707118,"01","Aguascalientes","001","Aguascalientes"
"01001",2005,723043,"01","Aguascalientes","001","Aguascalientes"
"01001",2006,737836,"01","Aguascalientes","001","Aguascalientes"
"01001",2007,752630,"01","Aguascalientes","001","Aguascalientes"
"01001",2008,767423,"01","Aguascalientes","001","Aguascalientes"
"01001",2009,782217,"01","Aguascalientes","001","Aguascalientes"
"01001",2010,804009,"01","Aguascalientes","001","Aguascalientes"
"01001",2011,816822,"01","Aguascalientes","001","Aguascalientes"
"01001",2012,829289,"01","Aguascalientes","001","Aguascalientes"
"01001",2013,841408,"01","Aguascalientes","001","Aguascalientes"
"01001",2014,853207,"01","Aguascalientes","001","Aguascalientes"
"01001",2015,864687,"01","Aguascalientes","001","Aguascalientes"
"01001",2016,875860,"01","Aguascalientes","001","Aguascalientes"
"01002",1990,32225,"01","Aguascalientes","002","Asientos"
"01002",1991,32932,"01","Aguascalientes","002","Asientos"
"01002",1992,33640,"01","Aguascalientes","002","Asientos"
"01002",1993,34347,"01","Aguascalientes","002","Asientos"
"01002",1994,35055,"01","Aguascalientes","002","Asientos"
"01002",1995,35762,"01","Aguascalientes","002","Asientos"
"01002",1996,36162,"01","Aguascalientes","002","Asientos"
"01002",1997,36562,"01","Aguascalientes","002","Asientos"
"01002",1998,36963,"01","Aguascalientes","002","Asientos"
"01002",1999,37363,"01","Aguascalientes","002","Asientos"
"01002",2000,37763,"01","Aguascalientes","002","Asientos"
"01002",2001,38320,"01","Aguascalientes","002","Asientos"
"01002",2002,38877,"01","Aguascalientes","002","Asientos"
"01002",2003,39433,"01","Aguascalientes","002","Asientos"
"01002",2004,39990,"01","Aguascalientes","002","Asientos"
"01002",2005,40547,"01","Aguascalientes","002","Asientos"
"01002",2006,41536,"01","Aguascalientes","002","Asientos"
"01002",2007,42525,"01","Aguascalientes","002","Asientos"
"01002",2008,43514,"01","Aguascalientes","002","Asientos"
"01002",2009,44503,"01","Aguascalientes","002","Asientos"
"01002",2010,45972,"01","Aguascalientes","002","Asientos"
"01002",2011,46638,"01","Aguascalientes","002","Asientos"
"01002",2012,47303,"01","Aguascalientes","002","Asientos"
"01002",2013,47965,"01","Aguascalientes","002","Asientos"
"01002",2014,48624,"01","Aguascalientes","002","Asientos"
"01002",2015,49281,"01","Aguascalientes","002","Asientos"
"01002",2016,49934,"01","Aguascalientes","002","Asientos"
"01003",1990,48440,"01","Aguascalientes","003","Calvillo"
"01003",1991,49084,"01","Aguascalientes","003","Calvillo"
"01003",1992,49727,"01","Aguascalientes","003","Calvillo"
"01003",1993,50371,"01","Aguascalientes","003","Calvillo"
"01003",1994,51014,"01","Aguascalientes","003","Calvillo"
"01003",1995,51658,"01","Aguascalientes","003","Calvillo"
"01003",1996,51585,"01","Aguascalientes","003","Calvillo"
"01003",1997,51511,"01","Aguascalientes","003","Calvillo"
"01003",1998,51438,"01","Aguascalientes","003","Calvillo"
"01003",1999,51364,"01","Aguascalientes","003","Calvillo"
"01003",2000,51291,"01","Aguascalientes","003","Calvillo"
"01003",2001,51069,"01","Aguascalientes","003","Calvillo"
"01003",2002,50848,"01","Aguascalientes","003","Calvillo"
"01003",2003,50626,"01","Aguascalientes","003","Calvillo"
"01003",2004,50405,"01","Aguascalientes","003","Calvillo"
"01003",2005,50183,"01","Aguascalientes","003","Calvillo"
"01003",2006,50974,"01","Aguascalientes","003","Calvillo"
"01003",2007,51764,"01","Aguascalientes","003","Calvillo"
"01003",2008,52555,"01","Aguascalientes","003","Calvillo"
"01003",2009,53345,"01","Aguascalientes","003","Calvillo"
"01003",2010,54680,"01","Aguascalientes","003","Calvillo"
"01003",2011,55222,"01","Aguascalientes","003","Calvillo"
"01003",2012,55797,"01","Aguascalientes","003","Calvillo"
"01003",2013,56395,"01","Aguascalientes","003","Calvillo"
"01003",2014,57010,"01","Aguascalientes","003","Calvillo"
"01003",2015,57635,"01","Aguascalientes","003","Calvillo"
"01003",2016,58267,"01","Aguascalientes","003","Calvillo"
"01004",1990,10247,"01","Aguascalientes","004","Cosío"
"01004",1991,10625,"01","Aguascalientes","004","Cosío"
"01004",1992,11003,"01","Aguascalientes","004","Cosío"
"01004",1993,11380,"01","Aguascalientes","004","Cosío"
"01004",1994,11758,"01","Aguascalientes","004","Cosío"
"01004",1995,12136,"01","Aguascalientes","004","Cosío"
"01004",1996,12233,"01","Aguascalientes","004","Cosío"
"01004",1997,12329,"01","Aguascalientes","004","Cosío"
"01004",1998,12426,"01","Aguascalientes","004","Cosío"
"01004",1999,12522,"01","Aguascalientes","004","Cosío"
"01004",2000,12619,"01","Aguascalientes","004","Cosío"
