inegi,year,NOM_ENT,NOM_MUN,pob,ent,mun,hom_tot,thom
01001,1990,Aguascalientes,Aguascalientes,506274.0,01,001,33.0,6.52
01001,1991,Aguascalientes,Aguascalientes,521585.0,01,001,44.0,8.44
01001,1992,Aguascalientes,Aguascalientes,536895.0,01,001,25.0,4.66
01001,1993,Aguascalientes,Aguascalientes,552206.0,01,001,25.0,4.53
01001,1994,Aguascalientes,Aguascalientes,567516.0,01,001,18.0,3.17
01001,1995,Aguascalientes,Aguascalientes,582827.0,01,001,28.0,4.8
01001,1996,Aguascalientes,Aguascalientes,594945.0,01,001,26.0,4.37
01001,1997,Aguascalientes,Aguascalientes,607064.0,01,001,19.0,3.13
01001,1998,Aguascalientes,Aguascalientes,619182.0,01,001,35.0,5.65
01001,1999,Aguascalientes,Aguascalientes,631301.0,01,001,20.0,3.17
01001,2000,Aguascalientes,Aguascalientes,643419.0,01,001,16.0,2.49
01001,2001,Aguascalientes,Aguascalientes,659344.0,01,001,17.0,2.58
01001,2002,Aguascalientes,Aguascalientes,675269.0,01,001,27.0,4.0
01001,2003,Aguascalientes,Aguascalientes,691193.0,01,001,17.0,2.46
01001,2004,Aguascalientes,Aguascalientes,707118.0,01,001,15.0,2.12
01001,2005,Aguascalientes,Aguascalientes,723043.0,01,001,18.0,2.49
01001,2006,Aguascalientes,Aguascalientes,737836.0,01,001,23.0,3.12
01001,2007,Aguascalientes,Aguascalientes,752630.0,01,001,29.0,3.85
01001,2008,Aguascalientes,Aguascalientes,767423.0,01,001,45.0,5.86
01001,2009,Aguascalientes,Aguascalientes,782217.0,01,001,48.0,6.14
01001,2010,Aguascalientes,Aguascalientes,804009.0,01,001,62.0,7.71
01001,2011,Aguascalientes,Aguascalientes,816822.0,01,001,71.0,8.69
01001,2012,Aguascalientes,Aguascalientes,829289.0,01,001,35.0,4.22
01001,2013,Aguascalientes,Aguascalientes,841408.0,01,001,26.0,3.09
01001,2014,Aguascalientes,Aguascalientes,853207.0,01,001,37.0,4.34
01001,2015,Aguascalientes,Aguascalientes,864687.0,01,001,35.0,4.05
01001,2016,Aguascalientes,Aguascalientes,875860.0,01,001,35.0,4.0
01002,1990,Aguascalientes,Asientos,32225.0,,,0.0,0.0
01002,1991,Aguascalientes,Asientos,32932.0,01,002,1.0,3.04
01002,1992,Aguascalientes,Asientos,33640.0,01,002,4.0,11.89
01002,1993,Aguascalientes,Asientos,34347.0,01,002,2.0,5.82
01002,1994,Aguascalientes,Asientos,35055.0,01,002,1.0,2.85
01002,1995,Aguascalientes,Asientos,35762.0,,,0.0,0.0
01002,1996,Aguascalientes,Asientos,36162.0,,,0.0,0.0
01002,1997,Aguascalientes,Asientos,36562.0,,,0.0,0.0
01002,1998,Aguascalientes,Asientos,36963.0,01,002,1.0,2.71
01002,1999,Aguascalientes,Asientos,37363.0,01,002,2.0,5.35
01002,2000,Aguascalientes,Asientos,37763.0,,,0.0,0.0
01002,2001,Aguascalientes,Asientos,38320.0,01,002,2.0,5.22
01002,2002,Aguascalientes,Asientos,38877.0,,,0.0,0.0
01002,2003,Aguascalientes,Asientos,39433.0,01,002,1.0,2.54
01002,2004,Aguascalientes,Asientos,39990.0,,,0.0,0.0
01002,2005,Aguascalientes,Asientos,40547.0,01,002,1.0,2.47
01002,2006,Aguascalientes,Asientos,41536.0,01,002,1.0,2.41
01002,2007,Aguascalientes,Asientos,42525.0,01,002,1.0,2.35
01002,2008,Aguascalientes,Asientos,43514.0,01,002,3.0,6.89
01002,2009,Aguascalientes,Asientos,44503.0,,,0.0,0.0
01002,2010,Aguascalientes,Asientos,45972.0,01,002,1.0,2.18
01002,2011,Aguascalientes,Asientos,46638.0,01,002,1.0,2.14
01002,2012,Aguascalientes,Asientos,47303.0,01,002,2.0,4.23
01002,2013,Aguascalientes,Asientos,47965.0,01,002,5.0,10.42
01002,2014,Aguascalientes,Asientos,48624.0,,,0.0,0.0
01002,2015,Aguascalientes,Asientos,49281.0,01,002,1.0,2.03
01002,2016,Aguascalientes,Asientos,49934.0,,,0.0,0.0
01003,1990,Aguascalientes,Calvillo,48440.0,01,003,5.0,10.32
