id (store),year,month,week,usa,after,sales
1,2011,4,16,0,0,118691
1,2011,4,17,0,0,113804
1,2011,4,18,0,0,172104
1,2011,5,19,0,0,105591
1,2011,5,20,0,0,94884
1,2011,5,21,0,0,106246
1,2011,5,22,0,0,119068
1,2011,5,23,0,0,80604
1,2011,6,24,0,0,138472
1,2011,6,25,0,0,187031
1,2011,6,26,0,0,159097
1,2011,6,27,0,0,136925
1,2011,7,28,0,0,116322
1,2011,7,29,0,0,124650
1,2011,7,30,0,0,101399
1,2011,7,31,0,0,106238
1,2011,8,32,0,0,89480
1,2011,8,33,0,0,142852
1,2011,8,34,0,0,100355
1,2011,8,35,0,0,132594
1,2011,8,36,0,0,96338
1,2011,9,37,0,0,217664
1,2011,9,38,0,0,96275
1,2011,9,39,0,0,152475
1,2011,9,40,0,0,89157
1,2011,10,41,0,0,114080
1,2011,10,42,0,0,213818
1,2011,10,43,0,1,105130
1,2011,10,44,0,1,145112
1,2011,10,45,0,1,106205
1,2011,11,46,0,1,127148
1,2011,11,47,0,1,138521
1,2011,11,48,0,1,182305
1,2011,11,49,0,1,179614
1,2011,12,50,0,1,137124
1,2011,12,51,0,1,192487
1,2011,12,52,0,1,111623
1,2011,12,53,0,1,146439
1,2012,1,1,0,1,52105
1,2012,1,2,0,1,134360
1,2012,1,3,0,1,89138
1,2012,1,4,0,1,113036
1,2012,1,5,0,1,68635
1,2012,1,6,0,1,87751
1,2012,2,7,0,1,104431
1,2012,2,8,0,1,125178
1,2012,2,9,0,1,110720
1,2012,2,10,0,1,76451
1,2012,3,11,0,1,76357
1,2012,3,12,0,1,73581
1,2012,3,13,0,1,83532
1,2012,3,14,0,1,113183
1,2012,4,15,0,1,70199
1,2012,4,16,0,1,117595
3,2011,4,16,1,0,31152
3,2011,4,17,1,0,37311
3,2011,4,18,1,0,44265
3,2011,5,19,1,0,51676
3,2011,5,20,1,0,52290
3,2011,5,21,1,0,48860
3,2011,5,22,1,0,48570
3,2011,5,23,1,0,53980
3,2011,6,24,1,0,41197
3,2011,6,25,1,0,34112
3,2011,6,26,1,0,44650
3,2011,6,27,1,0,32445
3,2011,7,28,1,0,56176
3,2011,7,29,1,0,40093
3,2011,7,30,1,0,44511
3,2011,7,31,1,0,42784
3,2011,8,32,1,0,52766
3,2011,8,33,1,0,39364
3,2011,8,34,1,0,34537
3,2011,8,35,1,0,23968
3,2011,8,36,1,0,41294
3,2011,9,37,1,0,61405
3,2011,9,38,1,0,77345
3,2011,9,39,1,0,57123
3,2011,9,40,1,0,56216
3,2011,10,41,1,0,37340
3,2011,10,42,1,0,100805
3,2011,10,43,1,1,38929
3,2011,10,44,1,1,36585
3,2011,10,45,1,1,39052
3,2011,11,46,1,1,47679
3,2011,11,47,1,1,47808
3,2011,11,48,1,1,72030
3,2011,11,49,1,1,57647
3,2011,12,50,1,1,66357
3,2011,12,51,1,1,56486
3,2011,12,52,1,1,49297
3,2011,12,53,1,1,60013
3,2012,1,1,1,1,17278
3,2012,1,2,1,1,48311
3,2012,1,3,1,1,33523
3,2012,1,4,1,1,30545
3,2012,1,5,1,1,46229
3,2012,1,6,1,1,34530
3,2012,2,7,1,1,43483
3,2012,2,8,1,1,31415
3,2012,2,9,1,1,35564
3,2012,2,10,1,1,37364
3,2012,3,11,1,1,28124
3,2012,3,12,1,1,30139
3,2012,3,13,1,1,38022
3,2012,3,14,1,1,50389
3,2012,4,15,1,1,21236
3,2012,4,16,1,1,40881
5,2011,4,16,1,0,92159
5,2011,4,17,1,0,89447
5,2011,4,18,1,0,110329
5,2011,5,19,1,0,89277
5,2011,5,20,1,0,89909
5,2011,5,21,1,0,111867
5,2011,5,22,1,0,97320
5,2011,5,23,1,0,56995
5,2011,6,24,1,0,98294
5,2011,6,25,1,0,79257
5,2011,6,26,1,0,81317
5,2011,6,27,1,0,108315
5,2011,7,28,1,0,84564
5,2011,7,29,1,0,81832
5,2011,7,30,1,0,76972
5,2011,7,31,1,0,67239
5,2011,8,32,1,0,76486
5,2011,8,33,1,0,152662
5,2011,8,34,1,0,66287
5,2011,8,35,1,0,86042
5,2011,8,36,1,0,103413
5,2011,9,37,1,0,162506
