id (DMA),year,month,week,after,close,sales
1,2011,4,17,0,1,18564
1,2011,4,18,0,1,30883
1,2011,5,19,0,1,37425
1,2011,5,20,0,1,32563
1,2011,5,21,0,1,35773
1,2011,5,22,0,1,33142
1,2011,5,23,0,1,31752
1,2011,6,24,0,1,44807
1,2011,6,25,0,1,31873
1,2011,6,26,0,1,31290
1,2011,6,27,0,1,18165
1,2011,7,28,0,1,24031
1,2011,7,29,0,1,16518
1,2011,7,30,0,1,6845
1,2011,7,31,0,1,11946
1,2011,8,32,0,1,20217
1,2011,8,33,0,1,19117
1,2011,8,34,0,1,15089
1,2011,8,35,0,1,11507
1,2011,8,36,0,1,27765
1,2011,9,37,0,1,26113
1,2011,9,38,0,1,19311
1,2011,9,39,0,1,14742
1,2011,9,40,0,1,31951
1,2011,10,41,0,1,18089
1,2011,10,42,0,1,40563
1,2011,10,43,1,1,26997
1,2011,10,44,1,1,27522
1,2011,10,45,1,1,19164
1,2011,11,46,1,1,16667
1,2011,11,47,1,1,39513
1,2011,11,48,1,1,22378
1,2011,11,49,1,1,69086
1,2011,12,50,1,1,27563
1,2011,12,51,1,1,20592
1,2011,12,52,1,1,27297
1,2011,12,53,1,1,12993
1,2012,1,1,1,1,17913
1,2012,1,2,1,1,16275
1,2012,1,3,1,1,6721
1,2012,1,4,1,1,17295
1,2012,1,5,1,1,11948
1,2012,1,6,1,1,21471
1,2012,2,7,1,1,23376
1,2012,2,8,1,1,16399
1,2012,2,9,1,1,28410
1,2012,2,10,1,1,18620
1,2012,3,11,1,1,10191
1,2012,3,12,1,1,13472
1,2012,3,13,1,1,9424
1,2012,3,14,1,1,10010
2,2011,4,17,0,0,86333
2,2011,4,18,0,0,57385
2,2011,5,19,0,0,109949
2,2011,5,20,0,0,72000
2,2011,5,21,0,0,134981
2,2011,5,22,0,0,34303
2,2011,5,23,0,0,88618
2,2011,6,24,0,0,98572
2,2011,6,25,0,0,42960
2,2011,6,26,0,0,59599
2,2011,6,27,0,0,122426
2,2011,7,28,0,0,84280
2,2011,7,29,0,0,37158
2,2011,7,30,0,0,67812
2,2011,7,31,0,0,60453
2,2011,8,32,0,0,31015
2,2011,8,33,0,0,73827
2,2011,8,34,0,0,44440
2,2011,8,35,0,0,77481
2,2011,8,36,0,0,63910
2,2011,9,37,0,0,103031
2,2011,9,38,0,0,42616
2,2011,9,39,0,0,60001
2,2011,9,40,0,0,44036
2,2011,10,41,0,0,66435
2,2011,10,42,0,0,54882
2,2011,10,43,1,0,54672
2,2011,10,44,1,0,184311
2,2011,10,45,1,0,74975
2,2011,11,46,1,0,73732
2,2011,11,47,1,0,79941
2,2011,11,48,1,0,78178
2,2011,11,49,1,0,215689
2,2011,12,50,1,0,180845
2,2011,12,51,1,0,172990
2,2011,12,52,1,0,58079
2,2011,12,53,1,0,56130
2,2012,1,1,1,0,105771
2,2012,1,2,1,0,42934
2,2012,1,3,1,0,17515
2,2012,1,4,1,0,35493
2,2012,1,5,1,0,44117
2,2012,1,6,1,0,81634
2,2012,2,7,1,0,42347
2,2012,2,8,1,0,103927
2,2012,2,9,1,0,33770
2,2012,2,10,1,0,61467
2,2012,3,11,1,0,44849
2,2012,3,12,1,0,46776
2,2012,3,13,1,0,45318
2,2012,3,14,1,0,40791
3,2011,4,17,0,1,24120
3,2011,4,18,0,1,18803
3,2011,5,19,0,1,13433
3,2011,5,20,0,1,18548
3,2011,5,21,0,1,11038
3,2011,5,22,0,1,16265
3,2011,5,23,0,1,31831
3,2011,6,24,0,1,59424
3,2011,6,25,0,1,8501
3,2011,6,26,0,1,17720
3,2011,6,27,0,1,23978
3,2011,7,28,0,1,14268
3,2011,7,29,0,1,23242
3,2011,7,30,0,1,16249
3,2011,7,31,0,1,10458
3,2011,8,32,0,1,13703
3,2011,8,33,0,1,17751
3,2011,8,34,0,1,15157
3,2011,8,35,0,1,12745
3,2011,8,36,0,1,25896
3,2011,9,37,0,1,30351
3,2011,9,38,0,1,17679
3,2011,9,39,0,1,24534
3,2011,9,40,0,1,28151
3,2011,10,41,0,1,12105
3,2011,10,42,0,1,11565
3,2011,10,43,1,1,21856
3,2011,10,44,1,1,6470
3,2011,10,45,1,1,16848
