contcod,country,region,year,inc_con,source,mysample,bin_year,group,pop,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop
AGO,Angola,Sub-Saharan Africa,1995,C,wyd,1,1993,1,1.137175,174,806,,2090.25927734375,11.37175
AGO,Angola,Sub-Saharan Africa,1995,C,wyd,1,1993,2,1.137175,287,806,,2090.25927734375,11.37175
AGO,Angola,Sub-Saharan Africa,1995,C,wyd,1,1993,3,1.137175,373,806,,2090.25927734375,11.37175
AGO,Angola,Sub-Saharan Africa,1995,C,wyd,1,1993,4,1.137175,450,806,,2090.25927734375,11.37175
AGO,Angola,Sub-Saharan Africa,1995,C,wyd,1,1993,5,1.137175,538,806,,2090.25927734375,11.37175
AGO,Angola,Sub-Saharan Africa,1995,C,wyd,1,1993,6,1.137175,653,806,,2090.25927734375,11.37175
AGO,Angola,Sub-Saharan Africa,1995,C,wyd,1,1993,7,1.137175,785,806,,2090.25927734375,11.37175
AGO,Angola,Sub-Saharan Africa,1995,C,wyd,1,1993,8,1.137175,967,806,,2090.25927734375,11.37175
AGO,Angola,Sub-Saharan Africa,1995,C,wyd,1,1993,9,1.137175,1303,806,,2090.25927734375,11.37175
AGO,Angola,Sub-Saharan Africa,1995,C,wyd,1,1993,10,1.137175,2528,806,,2090.25927734375,11.37175
AGO,Angola,Sub-Saharan Africa,2000,C,povcal,1,1998,1,1.3138265,45,755,,2476.18359375,13.138265
AGO,Angola,Sub-Saharan Africa,2000,C,povcal,1,1998,2,1.3138265,106,755,,2476.18359375,13.138265
AGO,Angola,Sub-Saharan Africa,2000,C,povcal,1,1998,3,1.3138265,174,755,,2476.18359375,13.138265
AGO,Angola,Sub-Saharan Africa,2000,C,povcal,1,1998,4,1.3138265,254,755,,2476.18359375,13.138265
AGO,Angola,Sub-Saharan Africa,2000,C,povcal,1,1998,5,1.3138265,348,755,,2476.18359375,13.138265
AGO,Angola,Sub-Saharan Africa,2000,C,povcal,1,1998,6,1.3138265,467,755,,2476.18359375,13.138265
AGO,Angola,Sub-Saharan Africa,2000,C,povcal,1,1998,7,1.3138265,625,755,,2476.18359375,13.138265
AGO,Angola,Sub-Saharan Africa,2000,C,povcal,1,1998,8,1.3138265,862,755,,2476.18359375,13.138265
AGO,Angola,Sub-Saharan Africa,2000,C,povcal,1,1998,9,1.3138265,1293,755,,2476.18359375,13.138265
AGO,Angola,Sub-Saharan Africa,2000,C,povcal,1,1998,10,1.3138265,3378,755,,2476.18359375,13.138265
ALB,Albania,"Russia, C. Asia, SE Europe",1996,C,povcal,1,1998,1,.3079037,687,1817,3701.436556033435,3961.75732421875,3.079037
ALB,Albania,"Russia, C. Asia, SE Europe",1996,C,povcal,1,1998,2,.3079037,897,1817,3701.436556033435,3961.75732421875,3.079037
ALB,Albania,"Russia, C. Asia, SE Europe",1996,C,povcal,1,1998,3,.3079037,1090,1817,3701.436556033435,3961.75732421875,3.079037
ALB,Albania,"Russia, C. Asia, SE Europe",1996,C,povcal,1,1998,4,.3079037,1275,1817,3701.436556033435,3961.75732421875,3.079037
ALB,Albania,"Russia, C. Asia, SE Europe",1996,C,povcal,1,1998,5,.3079037,1466,1817,3701.436556033435,3961.75732421875,3.079037
ALB,Albania,"Russia, C. Asia, SE Europe",1996,C,povcal,1,1998,6,.3079037,1677,1817,3701.436556033435,3961.75732421875,3.079037
ALB,Albania,"Russia, C. Asia, SE Europe",1996,C,povcal,1,1998,7,.3079037,1926,1817,3701.436556033435,3961.75732421875,3.079037
